;Telescope run;Temperature;nChannels;Name;Voltage;;;;;;;;;;;;;;;;
STOPED because fixing scope settings;3913;-21;6;W4-RD01;60;W4-RD01;60;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505125992;3914;-21;6;W4-RD01;60;W4-RD01;60;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505126773;3915;-21;6;W4-RD01;60;W4-RD01;60;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505127487;3916;-21;6;W4-RD01;60;W4-RD01;60;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505128120;3917;-21;6;W4-RD01;60;W4-RD01;60;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505128716;3918;-21;6;W4-RD01;60;W4-RD01;60;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505129353;3919;-21;6;W4-RD01;60;W4-RD01;60;x;x;SiPM-AFP;26,5;x;x;x;x;x;0;x;x;;
1505129953;3920;-31;6;W4-S203;50;W4-S215;50;W4-S1061;60;W4-S1022;60;SiPM-AFP;26,5;W4-S204_6e14;260;W4-S204_6e14;260;SiPM-AFP;26,5;;
1505130597;3921;#REF!;6;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;
1505131328;3922;-31;6;W4-S203;40;W4-S215;40;W4-S1061;50;W4-S1022;50;SiPM-AFP;26,5;W4-S204_6e14;240;W4-S204_6e14;240;SiPM-AFP;26,5;;
1505132028;3924;#REF!;6;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;
1505132972;3925;#REF!;6;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;
1505133643;3928;#REF!;6;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;;
1505134377;3929;-31;6;W4-S203;30;W4-S215;30;W4-S1061;40;W4-S1022;40;SiPM-AFP;26,5;W4-S204_6e14;230;W4-S204_6e14;230;SiPM-AFP;26,5;;
1505232503;3930;-30;6;W4-S203;20;W4-S215;20;W4-S1061;30;W4-S1022;30;SiPM-AFP;26,5;W4-S204_6e14;200;W4-S204_6e14;200;SiPM-AFP;26,5;;
1505233734;3978;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
1505234974;3979;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
1505236230;3980;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
1505237657;3981;-31;6;W4-S203;60;W4-S215;60;W4-S1061;80;W4-S1022;80;SiPM-AFP;26,5;W4-S204_6e14;270;W4-S204_6e14;270;SiPM-AFP;26,5;;
